"key","en","fr","ge","sp","ch","jp"
"Quest_Reward_Standard_PowerCells","能源电池","xxxx",,,,
"Quest_Reward_Standard_Ingredients","材料","xxxx",,,,
"Quest_Reward_Standard_Equipment","装备","xxxx",,,,
"Quest_Reward_Standard_GiftItem","礼物","xxxx",,,,
"Quest_Reward_Standard_Furniture","家具","xxxx",,,,
"Quest_Reward_Standard_Recipe","食谱","xxxx",,,,
"Quest_Reward_Standard_Tool","工具","xxxx",,,,
"Quest_Reward_Standard_Unlock","解锁餐厅","xxxx",,,,
"Quest_Reward_Standard_Material","材料","xxxx",,,,
"Quest_Reward_Standard_Seed","种子","xxxx",,,,
"Quest_Reward_Standard_UniqueRare","独特稀有物品","xxxx",,,,
"Quest_Reward_Standard_UniqueEpic","独特史诗物品","xxxx",,,,
"Quest_Reward_Standard_UniqueLegendary","独特传奇物品","xxxx",,,,
"Quest_Reward_Standard_VariousItems","各种物品","xxxx",,,,
,,,,,,
,,,,,,
"QUESTS DESCRIPTIONS","任务描述",,,,,
,,,,,,
"Quest_Title_Collect_Ingredient_1","(npc)的特色料理","xxxx",,,,
"Quest_Description_Collect_Ingredient_1","(npc)正在举办派对，还需要一些食材来制作料理。","xxxx",,,,
"Quest_Title_Collect_Ingredient_2","给(npc)朋友的一道菜","xxxx",,,,
"Quest_Description_Collect_Ingredient_2","(npc)想为朋友做一道菜，(pronoun_D)希望你能找到一种特殊食材。","xxxx",,,,
"Quest_Title_Collect_Ingredient_3","(npc)的烹饪实验","xxxx",,,,
"Quest_Description_Collect_Ingredient_3","(npc)想尝试一道新菜肴，这需要一些食材。","xxxx",,,,
,,,,,,
"Quest_Title_Collect_Misc_1","(npc)的礼物","xxxx",,,,
"Quest_Description_Collect_Misc_1","(npc)正在为朋友制作礼物，还需要一件物品来完成(pronoun_P)礼物。","xxxx",,,,
"Quest_Title_Collect_Misc_2","(npc)收藏家","xxxx",,,,
"Quest_Description_Collect_Misc_2","为(npc)的收藏添加一件藏品。","xxxx",,,,
"Quest_Title_Collect_Misc_3","(npc)给笔友的礼物","xxxx",,,,
"Quest_Description_Collect_Misc_3","(npc)想要为霓虹城的朋友制作一份礼物，(pronoun_D)还需要一件物品来完成这份礼物。","xxxx",,,,
,,,,,,
"Quest_Title_Cook_1","想吃(dishname)","xxxx",,,,
"Quest_Description_Cook_1","(npc)很想吃您餐厅的(dishname)。为(npc)准备一份外卖。","xxxx",,,,
"Quest_Title_Cook_2","(npc)的户外零食","xxxx",,,,
"Quest_Description_Cook_2","(npc)想放松一天，没有你的(dishname)可不行。","xxxx",,,,
"Quest_Title_Cook_3","(dishname)海滩","xxxx",,,,
"Quest_Description_Cook_3","(npc)想在海滩度假，并希望有你的名菜(dishname)相伴。","xxxx",,,,
"Quest_Title_Cook_4","(npc)派对的核心","xxxx",,,,
"Quest_Description_Cook_4","(npc)正在举办一个小型聚会，非常想订购您的(dishname)。","xxxx",,,,
"Quest_Title_Cook_5","(npc)的徒步零食","xxxx",,,,
"Quest_Description_Cook_5","(npc)要去山里徒步旅行，想点一份您著名的(dishname)。","xxxx",,,,
,,,,,,
"Quest_Title_Deliver_1","(npc)的爱心包裹","xxxx",,,,
"Quest_Description_Deliver_1","(npc)想要给霓虹城的(pronoun_P)家人寄送一份爱心包裹。","xxxx",,,,
"Quest_Title_Deliver_2","(npc)助人为乐者","xxxx",,,,
"Quest_Description_Deliver_2","帮忙把(npc)的衣服送到儿童收容所。真是个好心人！","xxxx",,,,
"Quest_Title_Deliver_3","欧马逊公司VS.(npc)","xxxx",,,,
"Quest_Description_Deliver_3","(npc)需要你帮助退回(pronoun_P)欧马逊包裹，这件包裹在运输过程中就损坏了。","xxxx",,,,
"Quest_Title_Deliver_4","圣诞老人的真名是(npc)","xxxx",,,,
"Quest_Description_Deliver_4","(npc)为(pronoun_P)偶像制作了一份包装精美的礼物。","xxxx",,,,
"Quest_Title_Deliver_5","为(npc)的秘密笔友送货","xxxx",,,,
"Quest_Description_Deliver_5","帮(npc)把礼物送给霓虹城的笔友。会是谁呢？","xxxx",,,,
,,,,,,
"Quest_Title_Hunt_Crab_1","蟹钳恐惧","xxxx",,,,
"Quest_Description_Hunt_Crab_1","(animal)成群结队地涌向白荆港海滩。减少它们的数量，让它们远离海滩游客。","xxxx",,,,
"Quest_Title_Hunt_Crab_2","我地下室里的(animal)","xxxx",,,,
"Quest_Description_Hunt_Crab_2","(animal)已经越过海滩，偷偷潜入人们家中。驱赶它们。","xxxx",,,,
"Quest_Title_Hunt_Boar_1","植物 VS 野猪","xxxx",,,,
"Quest_Description_Hunt_Boar_1","(animal)肆虐乡村，破坏当地农场。猎捕(animal)以保护庄稼。","xxxx",,,,
"Quest_Title_Hunt_Boar_2","野猪的进攻","xxxx",,,,
"Quest_Description_Hunt_Boar_2","最近，游客遭到愤怒(animal)的袭击。减少它们的数量以防止进一步的袭击。","xxxx",,,,
"Quest_Title_Hunt_Elk_1","疼痛头槌","xxxx",,,,
"Quest_Description_Hunt_Elk_1","深林的(animal)毫无预警地伏击人类。击败(animal)，减少危害发生。","xxxx",,,,
"Quest_Title_Hunt_Elk_2","(npc)的狩猎挑战。","xxxx",,,,
"Quest_Description_Hunt_Elk_2","(npc)想和一位经验丰富的猎人打赌。在规定时间内猎杀(animal)，即可赢得奖品。","xxxx",,,,
"Quest_Title_Hunt_Pheasant_1","那些讨厌的山鸡","xxxx",,,,
"Quest_Description_Hunt_Pheasant_1","(animal)正在毁坏高志农场的农作物。消灭它们以保护农作物。","xxxx",,,,
"Quest_Title_Hunt_Pheasant_2","(npc)的狩猎挑战。","xxxx",,,,
"Quest_Description_Hunt_Pheasant_2","(npc)想和一位经验丰富的猎人打赌。在规定时间内猎杀(animal)，即可赢得奖品。","xxxx",,,,
,,,,,,
"Quest_Title_Party_1","(npc)的秘密聚会","xxxx",,,,
"Quest_Description_Party_1","(npc)想在白荆港为(pronoun_P)朋友们举办一个有趣的小聚会。","xxxx",,,,
"Quest_Title_Party_2","明星粉丝俱乐部","xxxx",,,,
"Quest_Description_Party_2","(npc)要为一位著名音乐家举办歌迷聚会，希望有一个舒适的环境，且能提供美食和饮料。","xxxx",,,,
"Quest_Title_Party_3","(npc)的周末烧烤聚餐","xxxx",,,,
"Quest_Description_Party_3","今天周末，是举行大型烧烤庆祝活动的最佳时机。(npc)需要热闹的环境和一份丰盛的肉食菜单。","xxxx",,,,
"Quest_Title_Party_4","(npc)的极客聚会","xxxx",,,,
"Quest_Description_Party_4","(npc)想举办一次聚会，聊聊科技和游戏方面的事。为(pronoun_P)客人们提供合适的环境，让客人尽情享受。","xxxx",,,,
"Quest_Title_Party_5","(npc)的生日聚会","xxxx",,,,
"Quest_Description_Party_5","今天是(npc)的生日，(pronoun_P)很想在这一天尽情狂欢，借酒消愁。","xxxx",,,,
"Quest_Title_Party_6","(npc)的彬彬有礼派对","xxxx",,,,
"Quest_Description_Party_6","轮到(npc)为礼貌协会举办派对了。(npc)陈恳地请求你提供一个优雅的环境和一些舒适的食物。","xxxx",,,,
"Quest_Title_Party_7","渴望一场盛宴","xxxx",,,,
"Quest_Description_Party_7","(npc)饿了，想为(pronoun_F)和(pronoun_P)家人们大摆宴席。为(npc)准备一场盛宴。","xxxx",,,,
"Quest_Title_Party_8","杯子蛋糕派对","xxxx",,,,
"Quest_Description_Party_8","喜欢甜食的(npc)想邀请(pronoun_P)朋友来参加一个温馨的茶话会。","xxxx",,,,
"Quest_Title_Party_9","鱼贩的聚会","xxxx",,,,
"Quest_Description_Party_9","(npc)想为(pronoun_P)渔民同胞举办一场海鲜盛宴。以海鲜为中心，打造一场热闹的盛宴。","xxxx",,,,
"Quest_Title_Party_10","美味素食","xxxx",,,,
"Quest_Description_Party_10","(npc)想为(pronoun_P)素食主义者朋友们举办一个聚会。理想的情况是，聚会在一个现代化装修的房间里举行。","xxxx",,,,
"Quest_Title_Party_11","(npc)和冷冻食品狂热分子","xxxx",,,,
"Quest_Description_Party_11","冷冻食品狂热者是一个精英烹饪团体，他们周游世界，四处吃冷冻食品。(npc)是成员之一，现在轮到(pronoun_P)主持他们的下一次聚会。","xxxx",,,,
"Quest_Title_Party_12","(npc)的私人用餐。","xxxx",,,,
"Quest_Description_Party_12","(npc)最近心情有些低落，希望能在你们的餐厅享用一顿私人晚餐。","xxxx",,,,
"Quest_Title_Party_13","美酒鉴赏家还是酒鬼？",,,,,
"Quest_Description_Party_13","(npc)想为(pronoun_P)酒类爱好者朋友们举办一场鸡尾酒会。请提供精美的酒水菜单和时髦的环境。",,,,,
,,,,,,
,,,,,,
"Quest_DailyTask_RequirementsMet","返回(npc)处领取你的奖励。","xxxx",,,,
,,,,,,
,,,,,,
"EVENT UI TEXT","活动 UI 文本",,,,,
,,,,,,
"critic_host","评论家：","xxxx",,,,
"event_host","主持人：","xxxx",,,,
"event_guestNumber","宾客总数：","xxxx",,,,
"event_foodType","食物：","xxxx",,,,
"event_decorStyle","装饰","xxxx",,,,
"event_music","音乐","xxxx",,,,
"event_stage","需要舞台：","xxxx",,,,
,,,,,,
"event_music_None","无","xxxx",,,,
"event_music_Flexible","可折叠","xxxx",,,,
,,,,,,
"event_music_None","无","xxxx",,,,
"event_music_Flexible","可折叠","xxxx",,,,
,,,,,,
"event_complete","活动完成！","xxxx",,,,
"event_failed","活动失败！","xxxx",,,,
"event_Celebrity_Title","名人邂逅","xxxx",,,,
"event_Celebrity_Description","名人(lastName)(firstName)曾光临你的餐厅。","xxxx",,,,
,,,,,,
,,,,,,
"STYLES","风格",,,,,
,,,,,,
"style_None","任意","xxxx",,,,
"style_Rustic","乡村","xxxx",,,,
"style_Classical","古典","xxxx",,,,
"style_Retro","复古","xxxx",,,,
"style_Modern","现代","xxxx",,,,
"style_SciFi","科幻","xxxx",,,,
"style_Opulent","华丽","xxxx",,,,
"style_Fantasy","梦幻","xxxx",,,,
"style_Industrial","工业","xxxx",,,,
"style_ArtDeco","艺术","xxxx",,,,
"style_Christmas","圣诞","xxxx",,,,
"style_Halloween","万圣","xxxx",,,,
"style_Festive","节日","xxxx",,,,
,,,,,,
,,,,,,
"QUEST OBJECT TEXT","任务对象文本",,,,,
,,,,,,
"QuestObject_1001_Read","阅读 (X)","xxxx",,,,
"QuestObject_2014_Search","搜索 (X)","xxxx",,,,
"QuestObject_6023_Place","放置 (X)","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"QUESTS DESCRIPTIONS","任务说明",,,,,
,,,,,,
"Quest_2101_HaselsFirstMeal_Name","哈塞尔的第一餐","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Description","认识当地人，学习如何收集食材。让红杉馆重新开门，并为哈塞尔做一顿饭。","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Segment_1","向屠夫乌利尔询问肉类的收购事宜。","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Segment_2","向农夫玫露了解如何采集野菜。","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Segment_3","与卖水果的娜比哈交谈，了解水果知识。","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Segment_4","与渔夫阿洛伊斯交谈，了解如何钓鱼。","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Segment_5","向提里奥了解烘焙用品。","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Segment_6","返回红杉馆餐厅找哈塞尔。","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Segment_7","按照要求开设餐厅，并为哈塞尔准备饭菜。","xxxx",,,,
"Quest_2101_HaselsFirstMeal_Segment_8","你已完成首次服务。与外面的哈塞尔交谈。","xxxx",,,,
,,,,,,
"Quest_2102_ThermalTroubles_Name","散热故障","xxxx",,,,
"Quest_2102_ThermalTroubles_Description","红杉馆的冰箱又旧又小。让碧安卡帮你升级冰箱。","xxxx",,,,
"Quest_2102_ThermalTroubles_Segment_1","找碧安卡修理冰箱。","xxxx",,,,
"Quest_2102_ThermalTroubles_Segment_2","碧安卡可以帮你，但她需要你从提里奥那拿回一件东西。","xxxx",,,,
"Quest_2102_ThermalTroubles_Segment_3","将糖果交还给碧安卡，她会帮你修理冰箱。","xxxx",,,,
"Quest_2102_ThermalTroubles_Segment_4","碧安卡正前往红杉馆修理冰箱。在那里见她。","xxxx",,,,
,,,,,,
"Quest_2103_SoftOpening_Name","试营业","xxxx",,,,
"Quest_2103_SoftOpening_Description","为一小部分白荆港居民举办红杉馆的试营业活动。","xxxx",,,,
"Quest_2103_SoftOpening_Segment_1","哈塞尔会召集一些当地人参加试营业。为试营业做好准备，等到第二天再与她交谈。","xxxx",,,,
"Quest_2103_SoftOpening_Segment_2","准备就绪后，请与哈塞尔联系，为红杉馆的试营业做好准备。","xxxx",,,,
"Quest_2103_SoftOpening_Segment_3","当你准备好举办试营业时，红杉馆就可以开业了，菜单上至少要有3道菜，且可供4位客人就座。","xxxx",,,,
"Quest_2103_SoftOpening_Segment_4","红杉馆的试营业已结束。请与外面的客人交谈。","xxxx",,,,
,,,,,,
"Quest_2104_ShabbyFloors_Name","告别破旧地板","xxxx",,,,
"Quest_2104_ShabbyFloors_Description","在盛大开业之前，餐厅内部需要清理干净。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_1","与市政厅的普里斯卡联系，以便修复地板。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_2","普里斯卡把她的工具落在了废弃澡堂里。前往澡堂找到工具。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_3","进入废弃的澡堂并取回木匠工具。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_4","探索废弃的澡堂。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_5","搜索废弃的澡堂，找到木匠工具。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_6","将木工工具归还给普里斯卡。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_7","从普里斯卡提供的样式里为红杉馆选择一款新的地板。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_8","普里斯卡一天之后就能修好地板。","xxxx",,,,
"Quest_2104_ShabbyFloors_Segment_9","地板现在应该修好了。回到红杉馆与普里斯卡见面。","xxxx",,,,
,,,,,,
"Quest_2105_GrandOpening_Name","盛大开幕","xxxx",,,,
"Quest_2105_GrandOpening_Description","为红杉馆的盛大开幕做好准备。备好合适的菜单和装饰，给客人留下一个好的初印象。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_1","哈塞尔可能有些准备盛大开幕的点子。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_2","米洛是一位经验丰富的设计师。他对红杉馆的装饰有自己的想法。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_3","阿洛伊斯可能有装饰所需的绳子。去码头附近找他。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_4","在附近的桶里搜寻一些绳子。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_5","收集(10 x 蛤壳)和(30 x 西洋菜)。将这些物品连同绳子一起带回给米洛。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_6","等待一天，让米洛完成装饰。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_7","回到米洛那里，查看装饰是否完成。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_8","等待米洛完成装饰。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_9","准备就绪后，请告知哈塞尔你想要开始盛大开幕。在盛大开幕结束前，你将无法举办常规餐厅服务。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_10","为红杉馆准备好一份至少包含6道菜品的菜单，和可供8位客人就坐的桌椅。在下午2点到下午6点之间开业来开启盛大开幕。","xxxx",,,,
"Quest_2105_GrandOpening_Segment_11","红杉馆的盛大开幕已完成。请与外面的哈塞尔交谈。","xxxx",,,,
,,,,,,
"Quest_2201_TeaOfLife_Name","生命之茶","xxxx",,,,
"Quest_2201_TeaOfLife_Description","埃普丽尔需要一些帮助来进行茶研究。","xxxx",,,,
"Quest_2201_TeaOfLife_Segment_1","与孤独崖边的埃普丽尔交谈。","xxxx",,,,
"Quest_2201_TeaOfLife_Segment_2","为埃普丽尔收集30个辣椒，30个接骨木果和30个甘蔗。","xxxx",,,,
"Quest_2201_TeaOfLife_Segment_3","在埃普丽尔的家里与她见面。","xxxx",,,,
"Quest_2201_TeaOfLife_Segment_4","用茶叶分配器为埃普丽尔调制一盏新茶。","xxxx",,,,
"Quest_2201_TeaOfLife_Segment_5","把泡好的茶给埃普丽尔。","xxxx",,,,
,,,,,,
"Quest_2202_TheliosStolenGoods_Name","提里奥的失窃货物","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Description","帮助提里奥找到丢失的商品。","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Segment_1","在海滩洞穴搜寻盗贼的踪迹。","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Segment_2","洞穴内的旧房子看起来很可疑。也许我应该仔细看看？","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Segment_3","你发现了一些失窃货物的残片。向提里奥出示它们。","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Segment_4","与碧安卡谈谈建造面粉厂的事宜。","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Segment_5","碧安卡需要一些材料来建造面粉厂。带给她10个铁矿石，15个植物根，5个铜矿石和5瓶蜂蜜酒。你可以从碧安卡那里购买钻头来采矿。","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Segment_6","向提里奥询问如何获取谷物。","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Segment_7","向提里奥运送30株高粱。在澡堂旁边的悬崖附近可以找到一些野生高粱。","xxxx",,,,
"Quest_2202_TheliosStolenGoods_Segment_8","在碧安卡的商店与提里奥和碧安卡见面。","xxxx",,,,
,,,,,,
"Quest_2203_SourceOfInspiration_Name","灵感源泉","xxxx",,,,
"Quest_2203_SourceOfInspiration_Description","安娜-梅会帮助你做一些装饰品。","xxxx",,,,
"Quest_2203_SourceOfInspiration_Segment_1","安娜梅也许能帮你进行装饰。去高志农场找她。","xxxx",,,,
"Quest_2203_SourceOfInspiration_Segment_2","安娜-梅决定为红杉馆制作一些新灯具。为安娜-梅带去5块未切割的石英。","xxxx",,,,
"Quest_2203_SourceOfInspiration_Segment_3","安娜-梅需要一些灵感来继续她的工作。为她提供菜单至少包含4道菜的餐厅服务，以便她了解红杉馆的精髓。","xxxx",,,,
"Quest_2203_SourceOfInspiration_Segment_4","与红杉馆外的安娜-梅交谈。","xxxx",,,,
"Quest_2203_SourceOfInspiration_Segment_5","安娜-梅已经开始着手制作新家具了。等一天再去拜访她。","xxxx",,,,
"Quest_2203_SourceOfInspiration_Segment_6","在高志农舍里拜访安娜-梅。","xxxx",,,,
,,,,,,
"Quest_2204_TheCritic_Name","评论家","xxxx",,,,
"Quest_2204_TheCritic_Description","卢修斯·德拉科特将在红杉馆餐厅就餐并发表评论。","xxxx",,,,
"Quest_2204_TheCritic_Segment_1","为红杉馆准备好一份至少包含7道菜品的菜单，和可供8位客人就坐的桌椅。当你准备好迎接卢修斯 Delacourt的到来时，在上午10点到下午6点之间开业。","xxxx",,,,
